author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
ArianaGrande,christmas &amp; chill for suuure https://t.co/yPQeXTp2yD,,17/12/2015 20:20,6.77584e+17,en,,,13887,5799
ArianaGrande,"I've been debating. it's between ""🌙✨"" and another.......... they're my 2 favorite titles and songs. it's v hard. 😭 https://t.co/A1kROHGfQQ",,12/01/2016 03:25,6.86751e+17,en,,,21024,8529
ArianaGrande,@arianafifths lmao i promise i won't,,01/09/2015 15:07,6.3873e+17,en,,,7574,3018
ArianaGrande,I'll give you all I have and nothing less I promise,,15/10/2015 21:12,6.54767e+17,en,,,27662,20586
ArianaGrande,i love you so much https://t.co/AxrnBLrjsR,,15/01/2017 01:03,8.20436e+17,en,,,19835,5134
ArianaGrande,♡ https://t.co/tQ2DgMgQ0l,,22/09/2016 22:59,7.79093e+17,und,,,97712,31145
ArianaGrande,"happy best month of the year, everyone",,01/10/2016 06:09,7.821e+17,en,,,80686,40494
ArianaGrande,https://t.co/8rUEsYvmSd,,21/12/2015 19:58,6.79028e+17,und,,,41761,16493
ArianaGrande,we decide it ⚡️💡♡ https://t.co/13zy1LsE1A,,23/10/2016 23:24,7.90333e+17,en,,,20747,6705
ArianaGrande,love you https://t.co/20U46T1mv5,,19/03/2016 17:11,7.11239e+17,en,,,16196,5109
ArianaGrande,thank you so much @wash_humane for letting us come spend the afternoon. met so many precious precious… https://t.co/zQ95gXTqsg,,24/07/2015 21:15,6.24689e+17,en,,,16725,8612
ArianaGrande,somethin bout,,12/04/2016 00:09,7.19679e+17,en,,,43829,20643
ArianaGrande,when you don't play golf https://t.co/xxY6TUxkm1,,19/08/2016 02:18,7.66459e+17,en,,,30298,9681
ArianaGrande,"I laughed so loud. I love y'all so much. It's coming soon enough, I promise. workinnnnn my booty off to get it to u. https://t.co/0juDxLdEh4",,27/08/2015 07:27,6.36802e+17,en,,,19622,9889
ArianaGrande,me rn #DangerousWomanTonight  https://t.co/vI4Dz9xEqX,,19/05/2016 20:36,7.33396e+17,en,,,19997,7976
ArianaGrande,love you back  https://t.co/B4yXBSW4Hi,,29/03/2016 06:30,7.14701e+17,en,,,16315,4806
ArianaGrande,I AM NOWWW A CHECKERBOARD CHICK #HairsprayLive #Penny,,07/07/2016 19:00,7.51129e+17,en,,,44486,20345
ArianaGrande,@andylassner can't wait for everyone to see our adventure tomorrow. it was horrible. thank god my hair was large enough to shield us both.,,27/10/2016 04:27,7.91497e+17,en,,,9280,3028
ArianaGrande,thanks for the clarification @graveyc https://t.co/RTxszzGiRd,,21/09/2015 04:13,6.45813e+17,en,,,15427,6871
ArianaGrande,love,,08/07/2016 19:21,7.51496e+17,en,,,62207,29709
BarackObama,"""This morning the Supreme Court recognized the Constitution guarantees marriage equality."" —President Obama #LoveWins",,26/06/2015 15:17,6.14452e+17,en,,,17781,14548
BarackObama,LIVE: President Obama is speaking at @AmericanU about the importance of the #IranDeal. http://t.co/pdVL3s6FuY,,05/08/2015 15:58,6.28958e+17,en,,,647,291
BarackObama,Chip in—the deadline is quickly approaching: http://t.co/DwqB9iMdD7 http://t.co/o8FyZYYo5s,,29/06/2015 18:32,6.15589e+17,en,,,1773,514
BarackObama,Join @vj44 on a conference call to discuss efforts we can take to help reduce gun violence. https://t.co/AzL9CkYA7z,,20/06/2016 17:09,7.4494e+17,en,,,1955,519
BarackObama,Senate leaders are continuing to obstruct a fair hearing for Judge Garland—help put the pressure on: https://t.co/oCAPRllPZX #DoYourJob,,17/05/2016 17:15,7.32621e+17,en,,,1623,545
BarackObama,Get the facts on everything from a fair #SCOTUS nomination process to climate change: https://t.co/jCZzreLARW https://t.co/qnB5GLM8eC,,01/03/2016 18:37,7.04737e+17,en,,,2066,632
BarackObama,"""As Americans, we should be proud of this achievement."" —President Obama #IranDeal",,05/08/2015 16:58,6.28973e+17,en,,,1307,442
BarackObama,Read how President Obama is laying the groundwork for criminal justice reform: http://t.co/6kkFqjgec0,,16/07/2015 17:47,6.21738e+17,en,,,1892,928
BarackObama,Private-sector jobs have grown for a record-breaking 67 straight months—but there's more to do.,,02/10/2015 20:14,6.50041e+17,en,,,1703,618
BarackObama,How much do you know about the minimum wage? http://t.co/C41r8rPOSk #RaiseTheWage,,07/10/2014 16:04,5.19519e+17,en,,,812,443
BarackObama,Watch as President Obama tackles four common myths about our economy. https://t.co/9DdBoFj9y2,,06/06/2016 19:09,7.39897e+17,en,,,4514,1799
BarackObama,Tomorrow. Are you in? http://t.co/vD8PN9uo65 #ReadySetEnroll http://t.co/3G0dd7ONP1,,14/11/2014 15:29,5.33281e+17,en,,,740,340
BarackObama,"There's more to do, but this is real progress: 10M private-sector jobs have been added over 54 straight months. http://t.co/ReSGbk1PlG",,05/09/2014 21:48,5.08009e+17,en,,,1176,634
BarackObama,Focus on what matters this holiday season. Make sure your loved ones #GetCovered: http://t.co/RlVcIfVhqk #Healthy2015,,12/12/2014 18:23,5.43471e+17,en,,,953,420
BarackObama,You don't want to miss out on this opportunity—enter now before tonight's deadline. https://t.co/ZgquwBCiow https://t.co/VpuEcqR86Z,,01/06/2016 15:19,7.38027e+17,en,,,2621,627
BarackObama,NASA leads the world in the exploration and study of planets. Let's not let climate change deniers change that: http://t.co/dcUlvdFaha,,11/05/2015 23:05,5.979e+17,en,,,1762,997
BarackObama,A new study confirms that the #TPP will raise wages for American workers and grow our economy. https://t.co/Yidp3pWnX3,,26/01/2016 18:39,6.92054e+17,en,,,1525,471
BarackObama,Are you ready for Round 2? You should be part of this: http://t.co/RZC6FBLk3w http://t.co/p5NVoLxDZQ,,20/10/2014 16:27,5.24235e+17,en,,,919,2862
BarackObama,"""This reform remains what it's always been: a set of fair rules and tougher protections."" —President Obama #ACAWorks",,25/06/2015 15:54,6.14099e+17,en,,,1104,388
BarackObama,The other side hopes people like you will get cynical and tune out—you should refuse: http://t.co/ozbejJFvJu,,03/09/2014 18:52,5.0724e+17,en,,,793,453
Cristiano,Love you ❤️❤️❤️ https://t.co/qhMNOEK2HB,,29/05/2016 00:17,7.36713e+17,en,,,103879,65193
Cristiano,"In my new commercial I'm in the central square of Tel-Aviv. Get ready neshamot it's gonna be HOT!
https://t.co/9tVr2s37eC",,16/05/2016 15:58,7.32239e+17,en,,,8321,1870
Cristiano,"You asked: Eres el mejor del mundo, te admiro mucho! saludos desde Bolivia! ❤️💛💚 http://t.co/UO9nsR68Ak",,24/09/2014 15:07,5.14793e+17,es,,,2478,880
Cristiano,I have hit the 2 million mark here on Twitter. Thanks everyone!,,12/03/2011 16:04,4.66025e+16,en,,,354,698
Cristiano,Portugal 7 - North Korea 0...Next: Brazil #POR #worldcup,,21/06/2010 16:38,16705881415.0,cs,,,129,1520
Cristiano,Here's me getting to today's team lunch. It was delicious. ... http://say.ly/eUx592,,25/11/2010 19:29,7878510000000000.0,en,,,46,112
Cristiano,"working hard, following my dreams and someone spotted me. @Brandon_Sco  how did u get noticed before u were pro? Keep being an inspiration.",,12/02/2011 21:38,3.65396e+16,en,,,115,162
Cristiano,Ready to try my new Mercurial Superfly http://t.co/0IvEBzFuw8 http://t.co/yNNp5OnSlZ,,27/08/2014 14:20,5.04635e+17,en,,,16668,10865
Cristiano,"Força Portugal! Pepe, Bruno and I are here with the team bus. http://t.co/HxoQbiUM",,08/06/2012 20:18,2.1119e+17,pt,,,833,2385
Cristiano,This is the autographed photo that @CRonaldoFever won. Do you like it? Get yours @mystarautograph http://t.co/ALHS3tPb http://t.co/yC6uTwcr,,18/01/2013 16:06,2.92302e+17,en,,,2126,2086
Cristiano,Can't retweet to all but I try “@Orfallyyyy: @Cristiano Even if you retweet me it will probably make my life!”,,18/12/2012 22:47,2.81169e+17,en,,,224,341
Cristiano,Thank you for all the posts you shared on the Fanwall on my new website. They are really great! Keep sharing here: http://t.co/nmncWFLZbK,,20/02/2014 15:37,4.36525e+17,en,,,2536,2123
Cristiano,Thank you. It was a good 1. @sampaulphillips your free kick against Portsmouth at Old Trafford was amazing! David James didn't even move.,,28/01/2011 18:30,3.10565e+16,en,,,31,69
Cristiano,👌 https://t.co/RoyleNCHk6,,25/11/2016 15:05,8.02166e+17,und,,,37925,7333
Cristiano,"Olá! Thanks for the support... 
http://bit.ly/9oJn7n #POR #worldcup",,24/06/2010 18:41,16951060691.0,pt,,,85,434
Cristiano,"Thank you @cecep_ekih, it was an exciting game. Loved it!",,08/08/2013 16:03,3.65503e+17,en,,,961,1200
Cristiano,"Insane first half against the aliens! @Falcao, we'll show them how we play football! #GALAXY11 http://t.co/z0FzRHz6gG http://t.co/pGJ4F1AcO0",,12/06/2014 11:39,4.77053e+17,en,,,6538,3871
Cristiano,"You asked: Hi Cristiano,I'm from Italy,can you say'ciao Federica' please?💕 http://t.co/qmcRbmbjFV",,30/06/2014 13:33,4.83604e+17,en,,,1982,732
Cristiano,Ice cream time ☀️👌🏼 https://t.co/EODfUnMF51,,07/08/2016 16:03,7.62318e+17,en,,,36188,6809
Cristiano,"You asked: If you just say "" Hello Raphael "" Will be the best day of my life! @7cristianorb http://t.co/qmoaF3ORQy",,31/03/2014 14:36,4.50643e+17,en,,,1304,764
KimKardashian,STREET STYLE: BLACK MESH https://t.co/hH8d15IOCD,,19/07/2016 16:17,7.55436e+17,en,,,4316,645
KimKardashian,love this! https://t.co/WHz2D3wyCX,,02/05/2016 16:45,7.27177e+17,en,,,3902,770
KimKardashian,Just got boxes of Yeezy Season 1 ! #LIT,,29/10/2015 01:19,6.5954e+17,en,,,6493,1885
KimKardashian,BTS FROM BRAZIL on my app today! https://t.co/M0m4mjqwvP https://t.co/oLqGXM4geQ https://t.co/T5p0aKgdGL,,21/11/2015 19:48,6.68154e+17,en,,,4534,814
KimKardashian,We have added new tickets for $299. Can't wait to see you there &amp; take tons of selfies with you! Go to http://t.co/SHr7ACO8m9 for details!,,11/06/2015 18:36,6.09067e+17,en,,,2040,513
